Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
LZ250TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ250TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TURB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ250TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TURC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ250TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TURD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ250TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ250TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ250TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TXRC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ250TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ250TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ300TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ300TUR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ300TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ300TURC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ300TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ300TURD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ300TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ300TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ300TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ300TXRC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ300TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ300TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
MARLIN CARB				Selva engine. OEM code: 67F-44352-00-00.	SELVA	Outboard Engines
MARLIN EFI				Selva engine. OEM code: 67F-44352-00-00.	SELVA	Outboard Engines
P115TLRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P115TLRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P115TLRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P115TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P150 (1992~1996)	500371		61A-W0078-A1-00	2-stroke. Range 1992–1996. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P175 (1994~1996)	500371		61A-W0078-A1-00	2-stroke. Range 1994–1996. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P200 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P200 (1991~1996)	500371		61A-W0078-A1-00	2-stroke. Range 1991–1996. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
P40	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P40TLHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P40TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P50 (<=1996)	500316			2-stroke. OEM code: 6H3-44352-00-00. Broad reference.	YAMAHA	Outboard Engines
P50 (>=1997)	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P50TLRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P50TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHP (1991)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHQ (1992)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHR (1993)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHS (1994)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P60TLHX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
P75 (1996)	500323			2-stroke. Year: 1996. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
PX150 (1999)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
PX150TLRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S115TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S115TXRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S130TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S130TXRU (199?)	500371		6N6-W0078-00-00	2-stroke. Year incomplete: 199?. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S130TXRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S150~S250 (1996)	500371		61A-W0078-A1-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S175TXRV (1997)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S175TXRW (1998)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S175TXRX (1999)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S200 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S200TXRV (1997)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S200TXRW (1998)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S200TXRX (1999)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
S250 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TLRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX150TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX200 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX200TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX200TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX200TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX200TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX200TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX200TXRC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX200TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX200TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX200TXRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX200TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX200TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX200TXRZ (2001)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX225TURA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX225TURA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX225TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX225TURB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX225TURY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX225TURZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX225TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX225TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX225TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX225TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX225TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX225TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX250 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX250TURA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX250TURA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX250TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX250TURB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX250TURY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX250TURZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX250TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX250TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX250TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""SX250TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
SX250TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
SX250TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
T25LA (_0112)	500385		66T-W0078-00-00	High Thrust 4-stroke. January 2012. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (_0411)	500385		66T-W0078-00-00	High Thrust 4-stroke. April 2011. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (113)	500385		66T-W0078-00-00	High Thrust 4-stroke. January 2013. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (114)	500385		66T-W0078-00-00	High Thrust 4-stroke. January 2014. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (115)	500385		66T-W0078-00-00	High Thrust 4-stroke. January 2015. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (116)	500385		66T-W0078-00-00	High Thrust 4-stroke. January 2016. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (409)	500385		66T-W0078-00-00	High Thrust 4-stroke. April 2009. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25LA (410)	500385		66T-W0078-00-00	High Thrust 4-stroke. April 2010. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLR (405)	500385		66T-W0078-00-00	High Thrust 4-stroke. April 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLR (406)	500385		66T-W0078-00-00	High Thrust 4-stroke. April 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLRA (2002)	500385		66T-W0078-00-00	High Thrust 4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLRB (2003)	500385		66T-W0078-00-00	High Thrust 4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLRC (2004)	500385		66T-W0078-00-00	High Thrust 4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLRD (2005)	500385		66T-W0078-00-00	High Thrust 4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T25TLRZ (2001)	500385		66T-W0078-00-00	High Thrust 4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
T50	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LA (112)	500316			Year: Jan 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LA (412)	500316			Year: Apr 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LB (113)	500316			Year: Jan 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LB (114)	500316			Year: Jan 2014. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LB (115)	500316			Year: Jan 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50LB (116)	500316			Year: Jan 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (_0411)	500316			Year: Apr 2011. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (405)	500316			Year: Apr 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (406)	500316			Year: Apr 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (407)	500316			Year: Apr 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (408)	500316			Year: Apr 2008. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (410)	500316			Year: Apr 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLR (509)	500316			Year: May 2009. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRU (1996)	500316			2-stroke. OEM code: 6H3-44352-00-00. Only (as stated).	YAMAHA	Outboard Engines
T50TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T50TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60LA (112)	500316			4-stroke. Year: Jan 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60LB (113)	500316			4-stroke. Year: Jan 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60LB (114)	500316			4-stroke. Year: Jan 2014. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60LB (115)	500316			4-stroke. Year: Jan 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60LB (116)	500316			4-stroke. Year: Jan 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (_0411)	500316			4-stroke. Year: Apr 2011. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (405)	500316			4-stroke. Year: Apr 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (406)	500316			4-stroke. Year: Apr 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (407)	500316			4-stroke. Year: Apr 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (408)	500316			4-stroke. Year: Apr 2008. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (410)	500316			4-stroke. Year: Apr 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLR (509)	500316			4-stroke. Year: May 2009. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLRC (2004)	500316			4-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLRD (2005)	500316			4-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T60TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
T8 (no year)	500363		69G-W0078-00-00	4-stroke, High Thrust. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
T9.9 (<= 1996)	500320		682-W0078-A3-00	High-thrust 4-stroke. Up to 1996. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A3-00.	YAMAHA	Outboard Engines
T9.9 (>= Apr 2007)	500363		69G-W0078-00-00	4-stroke, High Thrust. Year >= Apr 2007. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
T9.9 (2004 ~ Apr 2005)	500320		682-W0078-A3-00	High-thrust 4-stroke. Model years 2004 to April 2005. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A3-00.	YAMAHA	Outboard Engines
T9.9 (no year)	500320		682-W0078-A1-00	4-stroke, High-thrust (T=High Thrust). OEM code: 682-44352-03-00. OEM kit: 682-W0078-A1-00.	YAMAHA	Outboard Engines
T9.9-2 (no year)	500363		63V-W0078-02-00	4-stroke typical. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
V150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V150TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V175TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V200TLRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V225TLRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V250 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF115LA	500371			2-stroke.). OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF115LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150LA (513)	500371			2-stroke. Year: May 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF150XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF175LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF175LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (1009)	500371			2-stroke. Year: Oct 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF200LA (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (1009)	500371			2-stroke. Year: Oct 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF225LA (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (1009)	500371			2-stroke. Year: Oct 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
